"id","fk_author","fk_article"
"437","278","54"
"438","278","57"
"439","278","58"
"440","278","103"
"441","278","184"
"442","279","55"
"443","280","56"
"444","280","60"
"445","280","63"
"446","280","65"
"447","280","88"
"448","280","93"
"449","280","107"
"450","281","59"
"451","282","59"
"452","283","61"
"453","283","62"
"454","284","64"
"455","278","64"
"456","285","66"
"457","286","66"
"458","287","66"
"459","288","67"
"460","289","67"
"461","290","68"
"462","291","68"
"463","292","69"
"464","293","69"
"465","294","69"
"466","295","70"
"467","280","70"
"468","296","71"
"469","280","71"
"470","296","73"
"471","280","73"
"472","296","76"
"473","280","76"
"474","296","79"
"475","280","79"
"476","297","72"
"477","298","72"
"478","297","74"
"479","280","74"
"480","292","75"
"481","293","75"
"482","299","75"
"483","297","77"
"484","280","77"
"485","300","78"
"486","298","78"
"487","301","80"
"488","298","80"
"489","302","81"
"490","280","81"
"491","303","82"
"492","298","82"
"493","303","87"
"494","298","87"
"495","304","83"
"496","280","83"
"497","286","84"
"498","305","84"
"499","306","84"
"500","304","85"
"501","307","85"
"502","280","85"
"503","300","86"
"504","298","86"
"505","300","117"
"506","298","117"
"507","292","89"
"508","299","89"
"509","308","90"
"510","280","90"
"511","308","98"
"512","280","98"
"513","308","104"
"514","280","104"
"515","308","124"
"516","280","124"
"517","292","91"
"518","309","91"
"519","299","91"
"520","292","92"
"521","310","92"
"522","299","92"
"523","311","94"
"524","312","95"
"525","313","96"
"526","292","97"
"527","314","97"
"528","299","97"
"529","292","100"
"530","314","100"
"531","299","100"
"532","292","101"
"533","314","101"
"534","299","101"
"535","292","106"
"536","314","106"
"537","299","106"
"538","292","108"
"539","314","108"
"540","299","108"
"541","299","99"
"542","298","102"
"543","298","120"
"544","298","154"
"545","298","270"
"546","298","273"
"547","298","276"
"548","315","105"
"549","316","109"
"550","292","110"
"551","309","110"
"552","294","110"
"553","317","111"
"554","318","111"
"555","319","112"
"556","320","112"
"557","321","112"
"558","322","112"
"559","323","112"
"560","324","112"
"561","325","112"
"562","286","113"
"563","305","113"
"564","326","113"
"565","327","114"
"566","328","114"
"567","329","114"
"568","330","114"
"569","331","114"
"570","327","115"
"571","329","115"
"572","331","115"
